Serial No.,Name,Email Id,Contact no.,Location,Gender,Highest Qualification,Domain 1,Exp,Top % clients,Domain 2,Exp,Top % clients,Domain 3,Exp,Top % clients,Function /Department,Skill,Experience in Recruitment,Total Experience,Domains they want to work on,How many positions do you close in a month?,Level of Requirement you work on,"Do you have any website access? If yes, specify.",Sources of Client generation,How many hours can you dedicate per week?,CTC Range
,,,,,,,,,AAPC India Hotel Management,,,AAPC India Hotel Management,,,AAPC India Hotel Management,Bank,Automotive,,,,,Fresher,Naukri,Vendor,,
,,,,,,,Accounting,,24/7 Customer,Accounting,,24/7 Customer,Accounting,,24/7 Customer,Accounting,Auditing,,,Accounting,,Jr Level,Lindkedin,Friends,,
,,,,,,,Advertising,,3D PLM Software,Advertising,,3D PLM Software,Advertising,,3D PLM Software,Interior Design,AutoCAD,,,Advertising,,Mid Level,IIMjobs,Direct Calling,,
,,,,,,,Agriculture,,3i Infotech,Agriculture,,3i Infotech,Agriculture,,3i Infotech,Bank,Automotive,,,Agriculture,,Sr Level,Indeed,Old Clients ,,
,,,,,,,Animation,,AAPC India Hotel Management,Animation,,AAPC India Hotel Management,Animation,,AAPC India Hotel Management,Content Writing,Art,,,Animation,,Leadership,Angel list,others,,
,,,,,,,Architecture,,ACC,Architecture,,ACC,Architecture,,ACC,Consultant,Analytical Skills,,,Architecture,,,Others,,,
,,,,,,,Automobile,,ACT Television,Automobile,,ACT Television,Automobile,,ACT Television,Engineering,Adobe Photoshop,,,Automobile,,,,,,
,,,,,,,Aviation,,ADP,Aviation,,ADP,Aviation,,ADP,Export Import,Art Direction,,,Aviation,,,,,,
,,,,,,,BPO,,AIG Analytics & Services,BPO,,AIG Analytics & Services,BPO,,AIG Analytics & Services,Merchandiser,Automation,,,BPO,,,,,,
,,,,,,,Bank,,ANG INDUSTRIES,Bank,,ANG INDUSTRIES,Bank,,ANG INDUSTRIES,Security,Adobe Illustrator,,,Bank,,,,,,
,,,,,,,Brewery,,ANI Technologies,Brewery,,ANI Technologies,Brewery,,ANI Technologies,HR,Agile Methodologies,,,Brewery,,,,,,
,,,,,,,Sanitary,,ANZ Support Services,Sanitary,,ANZ Support Services,Sanitary,,ANZ Support Services,Hotel,Business Analysis,,,Sanitary,,,,,,
,,,,,,,Chemical,,ASAP Info Systems,Chemical,,ASAP Info Systems,Chemical,,ASAP Info Systems,Application Programming,Budgeting,,,Chemical,,,,,,
,,,,,,,Engineering,,ASM Technologies,Engineering,,ASM Technologies,Engineering,,ASM Technologies,Client Server,Business Strategy,,,Engineering,,,,,,
,,,,,,,Consumer Durables,,AT&T,Consumer Durables,,AT&T,Consumer Durables,,AT&T,DBA,Business Process Improvement,,,Consumer Durables,,,,,,
,,,,,,,Courier,,AVEVA Software,Courier,,AVEVA Software,Courier,,AVEVA Software,Ecommerce,Business Services,,,Courier,,,,,,
,,,,,,,Defence,,AXA Technology Services,Defence,,AXA Technology Services,Defence,,AXA Technology Services,ERP,Business Planning,,,Defence,,,,,,
,,,,,,,Teacher,,AXIS IT & T,Teacher,,AXIS IT & T,Teacher,,AXIS IT & T,VLSI,Branding,,,Teacher,,,,,,
,,,,,,,Electrical,,Abbott Healthcare,Electrical,,Abbott Healthcare,Electrical,,Abbott Healthcare,Mainframe,Business Intelligence,,,Electrical,,,,,,
,,,,,,,Export Import,,Accel Frontline,Export Import,,Accel Frontline,Export Import,,Accel Frontline,Middleware,Business Process,,,Export Import,,,,,,
,,,,,,,FMCG,,Accenture,FMCG,,Accenture,FMCG,,Accenture,Mobile,Customer Service,,,FMCG,,,,,,
,,,,,,,Facility Management,,Adani Enterprises,Facility Management,,Adani Enterprises,Facility Management,,Adani Enterprises,Network administrator,Communication,,,Facility Management,,,,,,
,,,,,,,Fertilizers,,Aditi Technologies,Fertilizers,,Aditi Technologies,Fertilizers,,Aditi Technologies,IT,Company Research,,,Fertilizers,,,,,,
,,,,,,,Food Processing,,Aditya Birla Group,Food Processing,,Aditya Birla Group,Food Processing,,Aditya Birla Group,Testing,Change Management,,,Food Processing,,,,,,
,,,,,,,Fresher,,Aditya Birla Retail,Fresher,,Aditya Birla Retail,Fresher,,Aditya Birla Retail,System Programming,Coaching,,,Fresher,,,,,,
,,,,,,,Gems Jewellery,,Adlabs Entertainment,Gems Jewellery,,Adlabs Entertainment,Gems Jewellery,,Adlabs Entertainment,EDP,Construction,,,Gems Jewellery,,,,,,
,,,,,,,Glass,,Adobe Systems,Glass,,Adobe Systems,Glass,,Adobe Systems,Telecom Software,Customer Relationship Management,,,Glass,,,,,,
,,,,,,,Air Conditioning,,Aegis,Air Conditioning,,Aegis,Air Conditioning,,Aegis,Telecom,Contractual Agreements,,,Air Conditioning,,,,,,
,,,,,,,Airline,,Aegon Religare,Airline,,Aegon Religare,Airline,,Aegon Religare,BPO,Customer Satisfaction,,,Airline,,,,,,
,,,,,,,Networking,,African Commodities DMCC,Networking,,African Commodities DMCC,Networking,,African Commodities DMCC,Legal,Contract Negotiation,,,Networking,,,,,,
,,,,,,,IT,,Agilis International,IT,,Agilis International,IT,,Agilis International,Marketing,Design,,,IT,,,,,,
,,,,,,,Industrial,,Agility,Industrial,,Agility,Industrial,,Agility,Packaging,Databases,,,Industrial,,,,,,
,,,,,,,Insurance,,AgreeYa Mobility,Insurance,,AgreeYa Mobility,Insurance,,AgreeYa Mobility,Pharma,Data Analysis,,,Insurance,,,,,,
,,,,,,,KPO,,Agreeya Solutions,KPO,,Agreeya Solutions,KPO,,Agreeya Solutions,Maintenance,Digital Marketing,,,KPO,,,,,,
,,,,,,,Legal,,AirWatch Technologies,Legal,,AirWatch Technologies,Legal,,AirWatch Technologies,Logistics,Decision Making,,,Legal,,,,,,
,,,,,,,Media,,Aircel,Media,,Aircel,Media,,Aircel,Sales,Digital Media,,,Media,,,,,,
,,,,,,,Dotcom,,Ajax Fiori,Dotcom,,Ajax Fiori,Dotcom,,Ajax Fiori,Secretary,Drawing,,,Dotcom,,,,,,
,,,,,,,Entertainment,,Akamai,Entertainment,,Akamai,Entertainment,,Akamai,Corporate Planning,Development Tools,,,Entertainment,,,,,,
,,,,,,,Medical,,Akamai Technologies,Medical,,Akamai Technologies,Medical,,Akamai Technologies,Site Engineering,Event Planning,,,Medical,,,,,,
,,,,,,,Mining,,Alcatel-Lucent,Mining,,Alcatel-Lucent,Mining,,Alcatel-Lucent,Film,Editing,,,Mining,,,,,,
,,,,,,,NGO,,Alembic Pharma,NGO,,Alembic Pharma,NGO,,Alembic Pharma,Teacher,Entrepreneurship,,,NGO,,,,,,
,,,,,,,Automation,,Alere Medical,Automation,,Alere Medical,Automation,,Alere Medical,Airline,Email,,,Automation,,,,,,
